Report Number,ACRS Report Type,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,time,day of the week,date
MCP32010056,1,-1,9,1,4,1,5,6,,9FB33AB6-B999-417D-AFC2-0ACF75918905,0,1,"ICY OR SNOW-COVERED, RAIN, SNOW, WET",7,11,1,12,24,8,2,40.0,0,2017.0,27,402,39.2015495,-77.2544,06:30:00,Monday,2023-12-11
MCP2816003P,2,-1,4,-1,0,1,5,6,,C2DDCE3E-E0CC-4134-9C7C-DCA865F357CA,0,1,,7,11,2,12,13,8,2,45.0,0,2010.0,131,307,39.10270167,-77.22088833,20:27:00,Friday,2023-10-13
MCP31640065,1,-1,14,-1,0,4,1,6,,F11D9269-D3F9-47A9-AD4F-FD5C46A1D3CA,0,1,,5,11,5,6,13,8,1,45.0,0,1998.0,133,115,39.11197333,-77.07576,08:58:00,Thursday,2022-09-01
MCP3334001X,2,-1,9,0,0,3,5,7,,023EA282-A48C-4FB0-8D81-81BF8FD55F2C,2,1,,12,-1,6,15,0,20,1,25.0,0,2020.0,24,149,38.99795,-77.02314,19:27:00,Saturday,2023-11-11
MCP1022004H,1,-1,9,0,0,4,5,6,,77963BE8-0584-4842-9BFE-DC98C5D8ADA4,0,1,,7,11,5,9,0,19,2,30.0,0,2009.0,66,344,39.18234167,-77.260495,12:46:00,Monday,2016-04-04
MCP10220077,2,-1,6,1,0,4,1,6,,CBE4286A-8839-43AB-9201-283F41E961E7,0,1,,7,11,5,1,18,8,2,40.0,0,2014.0,127,74,39.21490167,-77.29713833,13:08:00,Monday,2017-05-22
MCP2948006P,2,-1,1,0,0,0,5,6,,1798AAB9-619F-4E96-9A1B-BA1EF7AA2335,1,1,,7,11,5,8,0,20,0,40.0,0,2021.0,27,179,39.05804467,-77.05770579,20:10:00,Saturday,2023-12-23
MCP3136006R,1,-1,9,4,4,4,5,6,,3939C798-F931-4404-9109-7D181B96D8EA,0,2,"RAIN, SNOW, WET",7,11,2,9,13,8,2,35.0,0,2013.0,131,115,39.02604458,-77.01083227,13:17:00,Sunday,2023-12-10
MCP31230062,1,-1,16,1,0,4,5,-1,,DCAE0AFE-8D7C-4AA9-AD56-E20DABA95A71,0,2,,7,11,1,12,13,8,1,40.0,0,2019.0,1,404,39.10332718,-77.19062037,09:43:00,Sunday,2023-08-06
MCP3140002D,2,-1,15,0,0,1,0,6,,36FFD74A-2C22-4F76-AD3D-CC8A0B7B204D,2,1,,5,11,1,12,13,5,2,25.0,0,2015.0,26,34,38.97988333,-77.09206833,03:26:00,Saturday,2023-08-12
MCP1213008Z,1,-1,9,4,4,4,1,6,,4CF25FFF-9CB4-4963-B03B-33C162AF0989,0,1,"RAIN, SNOW, WET",7,11,5,9,0,16,0,40.0,0,2019.0,44,402,39.07419167,-77.00627,14:50:00,Wednesday,2023-12-27
