Report Number,ACRS Report Type,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,time,day of the week,date
MCP29140063,1,-1,9,1,-1,4,5,-1,0,1,,7,12,2,9,11,20,2,50.0,0,2003.0,28,185,39.074935,-76.954725,16:24:00,Wednesday,2018-01-03
MCP27710021,2,-1,9,0,0,4,5,-1,0,1,,7,12,2,15,11,20,4,35.0,0,2021.0,11,377,39.05346667,-77.088045,08:50:00,Tuesday,2023-04-25
MCP2739003Z,1,-1,16,0,0,1,5,0,2,3,,7,12,0,2,11,9,4,35.0,0,2001.0,140,128,39.015855,-77.00543167,00:33:00,Thursday,2021-03-04
MCP1220003K,1,-1,9,0,0,4,1,6,0,3,,7,12,5,9,0,17,0,35.0,0,2014.0,46,141,38.99392228,-77.0314765,15:22:00,Tuesday,2016-05-24
EJ78730027,1,-1,7,4,7,4,5,6,0,1,"RAIN, SNOW, WET",7,12,2,9,11,20,4,25.0,0,2015.0,140,37,39.1421599,-77.19307904,10:39:00,Monday,2019-12-09
MCP29670028,1,-1,14,4,7,4,5,-1,2,3,"RAIN, SNOW, WET",5,12,1,1,11,17,1,35.0,0,2014.0,2,448,38.97683333,-77.090585,16:55:00,Friday,2017-07-28
MCP3079002P,2,-1,9,4,7,1,5,6,2,1,"RAIN, SNOW, WET",7,12,1,12,11,0,1,35.0,0,2016.0,148,252,39.19634583,-77.2657725,17:33:00,Sunday,2019-12-01
MCP1417005B,1,-1,9,0,0,4,5,6,2,1,,12,12,2,12,11,17,2,40.0,0,2014.0,46,130,39.13369917,-77.15839595,08:11:00,Tuesday,2016-05-24
MCP2717007D,1,-1,9,0,0,4,1,6,2,1,,12,12,1,12,12,9,4,45.0,0,2016.0,28,194,38.98624167,-77.14357,16:05:00,Tuesday,2016-09-06
MCP30740009,2,-1,16,0,0,4,4,-1,0,1,,7,12,1,10,11,9,1,25.0,0,2012.0,8,462,39.0046032,-77.00644612,08:57:00,Tuesday,2017-08-08
MCP2693003Q,1,-1,9,0,0,4,-1,6,0,2,,7,12,2,9,11,20,2,45.0,0,2004.0,140,336,39.06099965,-77.09118779,14:02:00,Tuesday,2021-06-15
MCP2330003B,1,-1,7,0,0,1,5,6,2,1,,5,12,2,3,11,6,0,35.0,0,2010.0,84,28,39.0411416,-77.05309355,20:28:00,Thursday,2021-12-16
